thank you for watching.,"['thank', 'for', '.']"
now that's a pill worth taking.ocuvite.,"['now', ""'s"", 'a', 'worth', 'taking.ocuvite']"
help protect your eye health.,"['help', 'protect', 'eye', 'health', '.']"
email marketing from constant contact reaches people in a place they're checking every day -- their inbox.,"['email', 'marketing', 'constant', 'contact', 'reaches', 'people', 'in', 'place', ""'re"", 'checking', 'day', '--', 'their', '.']"
it's just one of the ways constant contact can help you grow your small business.sign up for your free trial today at constantcontact.com/try.,"[""'s"", 'just', 'one', 'of', 'ways', 'contact', 'can', 'help', 'you', 'grow', 'your', 'business.sign', 'up', 'your', 'free', 'trial', 'at', '.']"
"but first you've got to get him to say, ""hello.""","['first', 'you', 'got', 'to', 'get', 'to', 'say', '``', '.', ""''""]"
new crest 3d white arctic fresh toothpaste.,"['new', 'crest', '3d', 'white', 'arctic', 'fresh', 'toothpaste']"
"use it with these 3d white products, and whiten your teeth in just 2 days.","['use', 'with', '3d', 'products', ',', 'and', 'whiten', 'teeth', 'just', '2', '.']"
new crest 3d white toothpaste.,"['new', 'crest', '3d', 'white', 'toothpaste']"
a reporter and a wild turkey duke it out.,"['reporter', 'and', 'wild', 'duke', 'it', 'out', '.']"
the swedish reporter tries to film a segment but the turkey has other ideas.,"['swedish', 'reporter', 'tries', 'to', 'a', 'segment', 'the', 'turkey', 'other', '.']"
ah sclam.,"['ah', 'sclam']"
this turkey!suspect to police because of his tactical and firearms training he gained from his time in the u.s. navy and los angeles police department.,"['turkey', '!', 'to', 'police', 'of', 'his', 'and', 'training', 'gained', 'from', 'time', 'in', 'the', 'navy', 'and', 'angeles', 'department', '.']"
and he may also be armed to the hilt so how are s.w.a.t.,"['he', 'also', 'be', 'armed', 'to', 'the', 'so', 'are', 's.w.a.t']"
teams going to find him.,"['going', 'find', 'teams', 'him']"
"let's bring in rod wheeler, fox news contributor and former washington d.c. homicide detective and rod, this is a serious case as in any situation, but what's unique about this, is that this is one of lapd's, a former cop who knows inside-- the insides of how to operate tactically and how to be deceptive and intelligence.","['let', 'bring', 'in', 'wheeler', ',', 'fox', 'contributor', 'and', 'former', 'washington', 'homicide', 'detective', 'and', 'rod', ',', 'this', 'a', 'serious', 'as', 'any', 'situation', 'but', 'what', ""'s"", 'about', ',', 'that', 'this', 'one', 'lapd', ',', 'a', 'former', 'who', 'inside', 'the', 'insides', 'how', 'operate', 'tactically', 'and', 'to', 'be', 'and', '.']"
so how do you track a guy like that.,"['so', 'how', 'do', 'track', 'a', 'like', 'that']"
"this guy has been very well-trained not only with the the l.a. police department, kelly, but also an a member of the navy.","['guy', 'has', 'been', 'very', 'well-trained', 'not', 'only', 'with', 'the', 'police', ',', 'kelly', ',', 'but', 'an', 'a', 'of', 'navy', '.']"
the navy reserves.,"['navy', 'reserves', '.']"
"so we know what we're up against and to be honest, this is one of the worst types of situations any police department can find themselves confronted with, when you haveto go after one of your own.","['we', 'what', 'we', 'up', 'and', 'to', 'honest', 'this', 'one', 'the', 'worst', 'types', 'situations', 'police', 'department', 'can', 'themselves', 'with', ',', 'when', 'haveto', 'go', 'one', 'of', 'your', 'own', '.']"
so how will they in fact find this guy?,"['so', 'how', 'will', 'in', 'find', 'this', 'guy']"
"here is what's going to have to happen, kelly.","['here', 'is', ""'s"", 'going', 'to', 'to', 'happen', 'kelly', '.']"
this guy is going to have to slip up at some point or he's just going to have to make a decision that he's going to engage the police in some type of a battle in which we probably anticipate he's going to want to do which is fine.,"['guy', 'is', 'going', 'to', 'to', 'slip', 'at', 'some', 'or', ""'s"", 'going', 'to', 'to', 'a', 'decision', 'that', 'he', 'going', 'to', 'the', 'police', 'some', 'type', 'a', 'in', 'which', 'we', 'anticipate', 'he', 'going', 'to', 'to', 'which', 'is', '.']"
he's going to lose that battle and now what?,"[""'s"", 'going', 'to', 'that', 'battle', 'now', 'what']"
"christopher dorner knows he's going to lose that battle so there also exists a possibility, kelly, that this guy may decide to become suicidal.","['christopher', 'dorner', 'knows', ""'s"", 'going', 'to', 'that', 'battle', 'there', 'also', 'exists', 'a', 'possibility', ',', ',', 'that', 'guy', 'may', 'to', 'suicidal']"
"and we're looking at his pictures right now, you can see that he was a captain so he was an enlisted guy, in the naval reserve when you look at a guy like this, you've got to figure what made him snap.","['we', 'looking', 'at', 'his', 'right', ',', 'you', 'can', 'see', 'he', 'a', 'captain', 'so', 'was', 'enlisted', 'guy', 'in', 'the', 'reserve', 'you', 'look', 'a', 'guy', 'like', ',', ""'ve"", 'to', 'figure', 'what', 'made', 'snap', '.']"
"apparently gone into a homicidal rage, killing three innocent people, injuring others and making a manifesto na appeared on facebook where he vows to do more even to the point of losing his own life because as he says, he hasnothing to lose.","['apparently', 'gone', 'a', 'rage', ',', 'killing', 'innocent', 'people', ',', 'injuring', 'others', 'making', 'a', 'manifesto', 'appeared', 'on', 'where', 'he', 'vows', 'to', 'more', 'even', 'to', 'point', 'of', 'his', 'own', 'life', 'because', 'he', ',', 'he', 'to', 'lose']"
i'm not so sure this guy snapped all of a sudden.,"['i', ""'m"", 'not', 'so', 'sure', 'guy', 'snapped', 'all', 'a', '.']"
"the reason i say that, more information, new information is starting to come out just today.","['reason', 'i', 'say', 'that', 'more', ',', 'new', 'information', 'starting', 'to', 'come', 'out', 'just', '.']"
"i was just reading where if you look back at this guy's history, kelly, this guy made several complaints against the l.a. police department.","['i', 'was', 'just', 'reading', 'where', 'you', 'back', 'at', 'this', ""'s"", ',', 'kelly', 'this', 'guy', 'several', 'complaints', 'the', 'police', 'department', '.']"
"not just one, he complained about several different officers and he also had some relationship issues with his girlfriend.","['and', 'not', 'he', 'also', 'his', 'some', 'officers', '.', 'with', 'about', 'just', 'he', 'issues', 'one', 'several']"
"so, what we're trying to do now is to try to create a profile of in guy, what makes this guy tick.","['so', 'what', ""'re"", 'to', 'do', 'now', 'to', 'try', 'to', 'create', 'profile', 'of', 'guy', ',', 'makes', 'this', 'tick']"
where could his next step be and we have to try to anticipate where he may be so that we can try to intercept him.,"['where', 'could', 'next', 'step', 'be', 'and', 'have', 'try', 'to', 'where', 'he', 'be', 'so', 'that', 'can', 'try', 'to', 'intercept', '.']"
"ron, thank you for that, a former d.c. homicide detective and we've got to leave it there for now, but i know you'll keep us up-to-date what's going on in this case.","['ron', 'thank', 'you', 'that', 'a', 'd.c.', 'detective', 'we', ""'ve"", 'got', 'to', 'leave', 'there', 'now', ',', 'but', 'know', 'you', 'keep', 'up-to-date', ""'s"", 'going', 'in', 'case', '.']"
we're going to leave it there and have some breaking news right now.,"[""'re"", 'going', 'to', 'it', 'there', 'have', 'some', 'news', 'right', '.']"
learning that new york governor andrew cuomo is holding a news conference as we speak about the severe weather that new york and other states have encountered.,"['learning', 'new', 'york', 'governor', 'andrew', 'cuomo', 'is', 'holding', 'a', 'conference', 'as', 'we', 'about', 'severe', 'weather', 'new', 'and', 'other', 'states', 'encountered', '.']"
let's listen right now.,"['now', '.', 'listen', 'right', 'let']"
he's going to receive help from companies all across the state.,"[""'s"", 'going', 'to', 'help', 'from', 'companies', 'across', 'the', '.']"
and we are deploying several hundred plows to the area right now.,"['we', 'deploying', 'several', 'hundred', 'plows', 'to', 'the', 'right', '.']"
i spoke with new york city mayor mike bloomberg about the city.,"['i', 'spoke', 'new', 'york', 'city', 'mayor', 'mike', 'about', 'the', '.']"
"and the city is in a stable condition, so, mayor bloomberg is also going to be sending resources to suffolk county and we thank you for that, and nassau county executive and the neighboring counties, going to be sending resources.","['the', 'is', 'in', 'a', 'condition', 'so', ',', 'mayor', 'is', 'also', 'to', 'be', 'sending', 'resources', 'to', 'suffolk', 'and', 'we', 'thank', 'you', 'that', ',', 'and', 'county', 'and', 'the', 'counties', 'going', 'be', 'resources']"
"he so there will be additional equipment and personnel en route to suffolk as we speak and equipment coming from other parts of the state, also.","['so', 'there', 'be', 'additional', 'equipment', 'and', 'personnel', 'route', 'to', 'as', 'we', 'and', 'equipment', 'from', 'parts', 'of', 'state', ',', 'also']"
"this state had consequences, but nothing like our neighboring states.","['state', 'had', 'consequences', ',', 'nothing', 'our', 'neighboring', '.']"
"the state of connecticut, the situation was worse and the situation in the state of massachusetts was much, much worse.","['state', 'of', ',', 'the', 'was', 'and', 'the', 'situation', 'in', 'state', 'massachusetts', 'was', ',', 'worse', '.']"
i spoke to governor malloy of connecticut and governor duvalpatrick of massachusetts.,"['i', 'spoke', 'governor', 'malloy', 'of', 'and', 'governor', 'of', 'massachusetts', '.']"
we're in a position where we're going to be sending resources to both of those states.,"[""'re"", 'in', 'position', 'we', ""'re"", 'going', 'be', 'sending', 'resources', 'both', 'of', 'those', 'states']"
we'll send plow equipment personnel to connecticut and also massachusetts.,"[""'ll"", 'send', 'plow', 'equipment', 'personnel', 'to', 'and', 'also', '.']"
we'll be also sending utility crews to connecticut and massachusetts.,"[""'ll"", 'be', 'also', 'sending', 'utility', 'crews', 'to', 'and', 'massachusetts']"
"in terms of power outages, we have an issue in suffolk county, about 10,000 people are out of power and we have been working with the utility companies there and we'll be sending resources, but we can also send resources to connecticut and massachusetts and we'll be doing that and then they were hit much harder than the state of new york so we wish them well and i wish their governors well.","['terms', 'of', 'outages', ',', 'we', 'an', 'in', 'suffolk', ',', 'about', 'people', 'are', 'out', 'power', 'and', 'we', 'have', 'been', 'with', 'utility', 'companies', 'and', ""'ll"", 'be', 'sending', 'resources', 'but', 'can', 'also', 'send', 'resources', 'connecticut', 'massachusetts', 'and', 'we', ""'ll"", 'be', 'that', 'then', 'were', 'hit', 'much', 'harder', 'than', 'state', 'of', 'york', 'so', 'wish', 'well', 'and', 'i', 'wish', 'governors', '.']"
"i ask the people of the state to use consideration today, if you really don't need to leave the house for an urgent matter, don't leave the house.","['people', 'really', 'for', 'use', 'ask', 'to', '.', 'you', 'the', 'consideration', ',', ',', 'if', 'urgent', 'of', 'an', 'leave', 'the', 'i', ""n't"", 'house', 'do', 'state']"
there are crews all over the state working to clear the roads.,"['roads', 'working', 'the', 'the', 'are', 'clear', 'all', 'crews']"
it becomes more complicated when people are on the roads and more complicated when a person comes out and getsstuck and now the plows have to worry about moving that car.,"['becomes', 'more', 'complicated', 'when', 'people', 'are', 'on', 'roads', 'more', 'complicated', 'a', 'person', 'comes', 'out', 'getsstuck', 'and', 'now', 'plows', 'to', 'worry', 'moving', 'that', '.']"
"all right, new york governor andrew cuomo giving an update and status, saying new york was hits, but not as hard as our neighbors, neighbors helping neighbors and resources from here will go to help massachusetts in particular, who's been very, very hard hit with as much as three feet of snow there.","['right', ',', 'york', 'governor', 'andrew', 'cuomo', 'giving', 'an', 'update', 'status', ',', 'new', 'york', 'hits', ',', 'but', 'not', 'as', 'hard', 'our', ',', 'neighbors', 'helping', 'neighbors', 'resources', 'here', 'will', 'to', 'help', 'massachusetts', 'in', ',', 'who', 'been', 'very', ',', 'very', 'hit', 'with', 'as', 'as', 'three', 'of', 'there', '.']"
"which is the perfect time for us to bring in peter judge, from the massachusetts emergency management agency.","['is', 'the', 'time', 'for', 'us', 'bring', 'peter', ',', 'from', 'massachusetts', 'emergency', 'management', '.']"
joining me now live on the phone.,"['joining', 'now', 'live', 'on', 'phone']"
"peter, how are you doing this morning?","['peter', 'how', 'are', 'you', 'this', 'morning']"
"well, we're hanging in there right now.","['well', 'we', 'hanging', 'in', 'there', 'now']"
"all right, and overnight, busy?","['right', ',', 'overnight', 'busy', '?']"
very busy.,"['very', 'busy']"
"we were basically dealing with a main issue, obviously, the power outages and right now, we've got about 400,000 folks without power and it's pretty well concentrated in a southeast part of the state right now.","['were', 'basically', 'dealing', 'with', 'main', ',', 'obviously', ',', 'power', 'outages', 'right', ',', 'we', ""'ve"", 'about', '400,000', 'folks', 'power', 'it', ""'s"", 'pretty', 'concentrated', 'in', 'a', 'part', 'of', 'state', 'now', '.']"
what's the biggest challenge today?,"[""'s"", 'the', 'challenge', 'today', '?']"
"well, actually, we're kind of going through our today's biggest challenge, a 10 a.m. high tide, as nomically high tide, so, a lot of our easterncoast has been, right now in the process of dealing with issues.","['well', 'actually', ',', ""'re"", 'of', 'going', 'through', 'today', ""'s"", 'challenge', 'a', '10', 'high', 'tide', ',', 'nomically', 'tide', ',', 'so', ',', 'a', 'of', 'easterncoast', 'has', 'been', ',', 'now', 'in', 'process', 'dealing', 'with', '.']"
"we've got national guard up and down the coast who have been trying to evacuate people as many places, their homes are being kind of saturated.","[""'ve"", 'got', 'national', 'guard', 'up', 'down', 'coast', 'have', 'trying', 'to', 'people', 'as', 'many', 'places', 'their', 'homes', 'are', 'kind', 'of', 'saturated']"
"so, that certainly is our storm issue to deal with.","['so', 'that', 'is', 'our', 'storm', 'to', 'deal', 'with']"
the long-term issue is the safety of these folks without power because most of them don't have heat as well.,"['long-term', 'issue', 'is', 'the', 'of', 'these', 'without', 'because', 'most', 'them', 'do', 'have', 'heat', 'well']"
"so the quicker we can restore power, the quicker we can assure that these people are going to be safe.","['so', 'quicker', 'we', 'restore', 'power', ',', 'the', 'we', 'assure', 'that', 'people', 'are', 'going', 'be', '.']"
"you know, one of the things i think we forget about when we see all the snow is that risk of flooding on the coast.","[',', 'of', 'when', 'is', 'snow', 'coast', 'i', 'the', 'forget', 'about', 'all', 'on', 'of', '.', 'risk', 'know', 'we', 'see']"
"you said astronomically high tide, the highest you've ever seen?","['said', 'astronomically', 'high', 'tide', ',', 'highest', ""'ve"", 'ever', '?']"
"no, this time of year highest one of the month anyway and then we've added you know, 30 foot waves off shore and probably like a three or four foot storm surge on top of that.","[',', 'time', 'year', 'highest', 'of', 'the', 'month', 'anyway', 'then', ""'ve"", 'added', 'you', ',', '30', 'waves', 'off', 'shore', 'probably', 'like', 'three', 'or', 'four', 'foot', 'surge', 'on', 'of', 'that']"
"so in that regard, you know, what were streets a littlewhile ago kind of look like canals in a lot of these towns up and down the coast.","['you', 'up', 'were', 'of', 'streets', '.', 'canals', 'so', 'lot', 'that', 'littlewhile', 'of', 'down', 'towns', ',', 'the', 'in', ',', 'look', 'kind']"
we were looking at pictures of interstate 290 and the snow is piled up to the bottom of the sign and the snow is continuing to come down.,"['were', 'looking', 'at', 'of', 'interstate', 'and', 'the', 'snow', 'piled', 'to', 'the', 'bottom', 'of', 'the', 'and', 'snow', 'is', 'to', 'down', '.']"
are you able to access all areas that you need to?,"['need', '?', 'able', 'you', 'all', 'areas', 'are', 'to']"
and will the weekend be enough for cleanup?,"['will', 'the', 'be', 'enough', 'for', 'cleanup']"
ultimately this is going to be a long struggle.,"['ultimately', 'is', 'going', 'to', 'a', 'long', '.']"
the folks who have been able to access are the folks and national guard vehicles that can traverse some of the bad terrain out there.,"['folks', 'who', 'been', 'able', 'to', 'access', 'the', 'folks', 'and', 'guard', 'vehicles', 'can', 'traverse', 'some', 'of', 'bad', 'terrain', 'out', '.']"
"the governor actually had declared a travel ban yesterday at four o'clock, so the roads themselves have minimal traffic on them.","['governor', 'actually', 'had', 'declared', 'a', 'ban', 'yesterday', 'at', 'four', ',', 'so', 'the', 'themselves', 'minimal', 'on', 'them']"
"so, it allows, obviously, the plows to do their job and also allows, the public safety vehicles and national guard vehicles to more easily get where they have to get to to help these folks out.","['so', 'it', ',', 'obviously', 'the', 'plows', 'do', 'job', 'and', 'allows', ',', 'public', 'safety', 'and', 'national', 'guard', 'to', 'easily', 'get', 'where', 'they', 'to', 'get', 'to', 'to', 'these', 'folks', 'out', '.']"
did you find that people heeded the call?,"['did', 'find', 'that', 'heeded', 'the', 'call']"
"last night i was contributing reports and saying to people if you don't have what you need by now, don't go it.","['last', 'night', 'i', 'was', 'contributing', 'reports', 'saying', 'to', 'if', 'you', ""n't"", 'what', 'you', 'need', 'by', ',', ""n't"", 'go', '.']"
did they listen to you?,"['did', 'listen', 'to', '?']"
"absolutely, it was a ghosttown out there which was great.","['absolutely', 'it', 'a', 'ghosttown', 'there', 'which', 'great']"
"i think we had a total of 30 people on the entire state that ended up being sort of stranded, at least temporarily, no long-term issues, but basically who got stuck and had to-- had to be helped out.","['i', 'think', 'had', 'a', 'of', '30', 'on', 'the', 'entire', 'that', 'up', 'being', 'sort', 'stranded', ',', 'least', 'temporarily', ',', 'long-term', 'issues', 'but', 'who', 'got', 'stuck', 'had', '--', 'had', 'to', 'helped', '.']"
"so, in that regard.","['so', 'in', 'regard']"
people stayed home.,"['stayed', 'people', 'home']"
"they're continuing to stay home and the roads, major roads, even side roads are pretty wide open, allowing the plows to get their job done.","[""'re"", 'continuing', 'to', 'home', 'and', 'the', ',', 'roads', ',', 'side', 'roads', 'are', 'wide', 'open', ',', 'allowing', 'the', 'plows', 'to', 'get', 'job', 'done']"
that's great.,"[""'s"", 'great', '.']"
"i think that people forget it's not just about their safety, but letting the emergency crews get in to do what they need to do.","['i', 'think', 'people', 'forget', 'it', 'not', 'just', 'about', 'their', ',', 'letting', 'the', 'crews', 'in', 'to', 'what', 'they', 'need', 'to', '.']"
"before i let you go, you said about 400,000 people without power.","['i', 'let', 'you', ',', 'you', 'about', 'people', 'without', '.']"
when do you think it will be restored?,"['when', 'do', 'think', 'it', 'be', 'restored', '?']"
"well, the problem is, the utilities aren't going to let their crews go out it there to begin the restoration until after it's safe when the storm stops and we could be well into the late afternoon before the conditions are right that these folks can go out and get in the bucket trucks, rightnow, 30, 40 mile per hour winds out there.","['well', 'the', 'is', ',', 'the', 'are', 'going', 'to', 'let', 'their', 'crews', 'out', 'it', 'to', 'begin', 'the', 'until', 'it', ""'s"", 'when', 'the', 'stops', 'and', 'could', 'well', 'the', 'late', 'afternoon', 'before', 'conditions', 'are', 'right', 'these', 'can', 'go', 'out', 'and', 'in', 'bucket', 'trucks', ',', ',', ',', '40', 'mile', 'per', 'winds', 'there', '.']"
and could be a long haul.,"['could', 'be', 'a', 'haul', '.']"
"the good thing, the 400,000 are pretty condensed into one part of the state so i think a certified attack, you know, a group attack on these outages i think are going to work much bet are thter than if we have t state-wide.","['are', 'certified', 'thing', ',', '400,000', 'outages', 'so', 'bet', 't', 'attack', 'pretty', 'know', 'than', 'good', 'the', 'one', 'condensed', ',', 'are', '.', 'you', 'group', 'think', 'into', 'have', 'to', 'much', 'attack', 'state', 'state-wide', 'part', 'on', 'think', 'we']"
we heard that andrew cuomo that some resources from here will help folks out there.,"['heard', 'that', 'cuomo', 'that', 'some', 'from', 'will', 'help', 'out', 'there', '.']"
"good luck, emergency management, thank you for taking time for us today.","['good', 'luck', 'emergency', 'management', ',', 'you', 'for', 'time', 'us', 'today', '.']"
thank you very much for having me.,"['thank', 'very', 'much', 'for', 'me', '.']"
"take care, kelly.","['.', 'kelly', 'care', 'take']"
"new concerns as the pentagon threatens to make big cuts, including pay cuts for our servicemen and women and what it it could mean for the strength of our military as outgoing secretary panetta says these cuts must be stopped.","['new', 'concerns', 'the', 'threatens', 'to', 'make', 'cuts', ',', 'including', 'pay', 'for', 'our', 'servicemen', 'and', 'and', 'it', 'it', 'mean', 'for', 'strength', 'our', 'as', 'secretary', 'panetta', 'says', 'cuts', 'be', 'stopped']"
"we've got to use this opportunity to express againmy greatest concern, as secretary, frankly, one of the greatest security risks we are now facing as a nation, that this budget uncertainty could prompt the most significant readiness, military readiness crisis in more than a decade.","[""'ve"", 'got', 'to', 'this', 'opportunity', 'express', 'againmy', 'concern', ',', 'as', 'secretary', ',', ',', 'of', 'the', 'security', 'risks', 'are', 'now', 'as', 'nation', ',', 'that', 'this', 'uncertainty', 'could', 'prompt', 'the', 'significant', ',', 'military', 'crisis', 'more', 'a', 'decade', '.']"
....safe driving bonus check?,"['.safe', 'driving', 'bonus', 'check', '?']"
ok.silence.,['ok.silence']
stay smart around the boat ramp.,"['stay', 'smart', 'the', 'ramp', '.']"
make sure you've got your partner behind to watch.,"['make', 'sure', ""'ve"", 'got', 'your', 'behind', 'to', '.']"
there it is!,"['!', 'it']"
(crunch!),"['crunch', '!']"
music buy a new tracker proteam 175 and get a free gift card.,"['music', 'buy', 'new', 'tracker', 'proteam', '175', 'and', 'a', 'free', 'card', '.']"
"since we are now just weeks away from deep automatic cuts to federal spending, including the fed, there's no reason for that to happen.","['we', 'now', 'just', 'weeks', 'away', 'from', 'deep', 'cuts', 'to', 'federal', 'spending', 'including', 'the', 'fed', 'there', ""'s"", 'reason', 'for', 'to', '.']"
putting our fiscal house in order calls for a balanced approach not massive indiscriminate cuts that could have a severe impact on our military preparedness.,"['putting', 'fiscal', 'house', 'in', 'calls', 'for', 'a', 'approach', 'massive', 'indiscriminate', 'cuts', 'that', 'could', 'have', 'a', 'impact', 'on', 'our', 'preparedness', '.']"
"well, that was president obama yesterday speaking about massive looming defense budget cuts, as the pentagon threatens to reduce pay forour men and women in uniform and other painful money saving measures and all of that is raising questions about u.s. military strength down the road.","['well', 'that', 'president', 'obama', 'yesterday', 'speaking', 'about', 'massive', 'defense', 'budget', 'cuts', ',', 'as', 'the', 'threatens', 'reduce', 'forour', 'men', 'and', 'in', 'uniform', 'and', 'other', 'painful', 'saving', 'measures', 'all', 'of', 'is', 'raising', 'questions', 'about', 'u.s.', 'military', 'down', 'road']"
"now, new polls show americans are concerned.","['now', 'new', 'polls', 'show', 'americans', 'are', 'concerned', '.']"
nearly half of our country believes the u.s. is weaker than less powerful than five years ago and less than one quarter think that america is stronger.,"['nearly', 'half', 'our', 'believes', 'the', 'u.s.', 'weaker', 'than', 'less', 'powerful', 'five', 'years', 'ago', 'less', 'than', 'one', 'quarter', 'that', 'america', 'stronger', '.']"
"a retired major general, fox news military analyst.","['retired', 'major', 'general', ',', 'news', 'military', 'analyst', '.']"
"good morning, jamie.","['good', 'morning', 'jamie', '.']"
"i don't have to tell you how much i appreciate our troops, they're the greatest and the best.","['i', 'do', ""n't"", 'have', 'tell', 'you', 'much', 'i', 'appreciate', 'our', 'troops', 'they', ""'re"", 'greatest', 'the', 'best']"
how much will cuts impact readiness.,"['how', 'much', 'will', 'cuts', 'impact', 'readiness']"
"and the army cuts the o and m, operation and training budget, some 78% and also means a pay cut for our young men and women, and probably most dangerous, it threatens the contact that the american people have with their soldiers who have gone through what, now, over a decade ofvery, very painful wars, repeated trips to afghanistan and iraq.","['the', 'cuts', 'the', 'o', 'm', ',', 'and', 'training', ',', 'some', '%', 'and', 'also', 'a', 'cut', 'for', 'our', 'men', 'and', 'women', 'and', 'probably', 'most', ',', 'threatens', 'the', 'contact', 'the', 'american', 'have', 'their', 'soldiers', 'who', 'have', 'through', ',', 'now', 'over', 'a', 'ofvery', 'very', 'painful', 'wars', ',', 'trips', 'afghanistan', 'and', '.']"
"great stress on the families and now, these young soldiers are looking at the prospect of being thrown out of the military, without any proper preparation or any proper forethought on the part of the department.","['great', 'stress', 'the', 'and', 'now', 'these', 'young', 'are', 'at', 'the', 'prospect', 'of', 'being', 'out', 'the', 'military', 'without', 'any', 'proper', 'or', 'proper', 'on', 'the', 'of', 'department']"
"now, i've seen this happen three times in my lifetime, jamie, after vietnam, you recall the peace in the '90s carters hollow military, but i've never seen anything in my years as dangerous as this sequestration process, jamie.","['now', 'i', ""'ve"", 'seen', 'this', 'three', 'times', 'in', 'my', ',', ',', 'after', ',', 'you', 'the', 'in', 'the', 'carters', 'military', ',', 'i', ""'ve"", 'seen', 'in', 'my', 'years', 'as', 'dangerous', 'this', 'process', ',', 'jamie', '.']"
"what is the possible outcome that you feel is so dangerous, what's the worst case scenario?","['is', 'the', 'outcome', 'that', 'you', 'is', 'dangerous', ',', 'what', ""'s"", 'the', 'case', '?']"
"you know, soldiers will understand this.","['know', ',', 'will', 'understand', 'this', '.']"
"probably the most delicate, difficult thing you can maintain in the military is a training edge.","['probably', 'most', 'delicate', ',', 'thing', 'you', 'can', 'in', 'the', 'military', 'a', 'edge', '.']"
"if soldiers don't train, if pilots don't fly, ships don't sail every day, then they falloff, the efficiency falloff curve is very, very steep.","['soldiers', 'do', ""n't"", 'train', ',', 'pilots', ""n't"", 'fly', ',', 'ships', 'do', 'sail', 'every', 'day', ',', 'then', 'falloff', ',', 'efficiency', 'falloff', 'is', 'very', 'very', '.']"
"and you go a year without training small units or flying aircraft, then all of that great experience that our soldiers, sailors, airmen, marines, have earned over the last ten years will literally dissipate.","['you', 'a', 'year', 'training', 'small', 'or', 'flying', 'aircraft', ',', 'all', 'of', 'that', 'experience', 'that', 'soldiers', 'sailors', 'airmen', ',', 'marines', 'have', 'over', 'the', 'ten', 'years', 'literally', 'dissipate']"
"not in years, but in months and weeks, so if we cut training and if our soldiers begin to leave the ranks and vote with their feet and our units begin to fall pay part because the soldiers are not being trained and not allowed to exercise in the field, the long-term consequences for the nation would be catastrophic.","['not', 'years', ',', 'in', 'and', ',', 'so', 'we', 'cut', 'and', 'if', 'soldiers', 'to', 'leave', 'the', 'and', 'with', 'feet', 'and', 'our', 'begin', 'to', 'pay', 'part', 'the', 'soldiers', 'not', 'trained', 'and', 'allowed', 'exercise', 'in', 'the', ',', 'the', 'long-term', 'consequences', 'the', 'would', 'be', 'catastrophic', '.']"
"general, when -- and i follow this obviously.","['general', 'when', '--', 'i', 'this', 'obviously', '.']"
when i hear like the u.s.s.,"['when', 'i', 'hear', 'the', '.']"
"truman which was to deploy to the persian gulf can't go now because we can only afford to have one ship in the region, what message does that send to the countries there that, i mean, i'll be blunt.","['truman', 'was', 'to', 'to', 'the', 'gulf', ""n't"", 'go', 'now', 'because', 'we', 'can', 'only', 'to', 'one', 'ship', 'in', 'the', ',', 'what', 'message', 'does', 'send', 'the', 'countries', 'that', 'i', 'mean', ',', ""'ll"", 'be', '.']"
they hate us.,"['hate', 'us']"
"well, it's veryinteresting, i'm sure the iranians are sitting around a table somewhere in tehran changing their military policy based on what they perceive as emerging military weakness, look, this is so important, jamie, in my opinion, that if she is sequestration cuts continue, the united states is going to have to relook at the entire national security policy.","['well', 'it', 'veryinteresting', ',', 'i', 'sure', 'the', 'iranians', 'are', 'around', 'a', 'table', 'somewhere', 'tehran', 'their', 'military', 'policy', 'on', 'what', 'they', 'as', 'emerging', 'military', 'weakness', 'look', 'this', 'so', 'important', 'jamie', ',', 'in', 'my', ',', 'that', 'she', 'sequestration', 'cuts', 'continue', ',', 'united', 'states', 'going', 'have', 'relook', 'at', 'entire', 'security', '.']"
"look, work college 101, it's about ends and means.","['look', 'work', 'college', '101', ',', ""'s"", 'ends', 'and', '.']"
"if you cut the ends of the resources by 70, 80% we can't have the same national strategy to your point.","['you', 'the', 'ends', 'the', 'resources', '70', '80', '%', 'ca', ""n't"", 'the', 'same', 'national', 'to', 'your', 'point', '.']"
we can't have two carriers in the middle east and one in the pacific.,"['ca', ""n't"", 'have', 'two', 'carriers', 'in', 'middle', 'and', 'one', 'in', 'pacific', '.']"
we can't afford to have a-- the deployment model for the army and the marine corps.,"['ca', ""n't"", 'afford', 'to', 'a', '--', 'deployment', 'for', 'army', 'and', 'the', 'corps']"
we can't put our aircraft in the air.,"['ca', ""n't"", 'put', 'our', 'in', 'the', '.']"
if we can't do that.,"['we', ""n't"", 'do', 'that', '.']"
"then we're going to have to change our fundamental approach to national defense, jamie.","['then', ""'re"", 'going', 'to', 'to', 'change', 'fundamental', 'approach', 'national', 'defense', ',', '.']"
"before i let you go with all of that insight and information, general, president obama's message to congress is listen to leon panetta, who has obviouslybeen a public servant, don't make these cuts.","['i', 'let', 'you', 'with', 'all', 'that', 'and', ',', ',', 'president', ""'s"", 'message', 'congress', 'is', 'to', 'leon', 'panetta', 'who', 'has', 'a', 'public', 'servant', ',', ""n't"", 'make', 'these', '.']"
"work out a resolution, what's your message to our congressional members on this?","['work', 'a', ',', 'what', 'your', 'to', 'our', 'members', 'on', '?']"
"you know, i guess my message would be very simple, the american people and congress and the administration have a compact with our young men and women.","['know', ',', 'guess', 'my', 'message', 'be', 'very', 'simple', ',', 'the', 'american', 'and', 'and', 'the', 'administration', 'a', 'compact', 'our', 'men', 'and', 'women']"
