keywords,caption
president had spoken out the in past .,the president had spoken out about the case in the past.
is likely to pretty quiet about this,he is likely to remain pretty quiet about this.
doug luzader live washington .,doug luzader live in washington.
"thank , .","thank you, doug."
lawyers rob blagojevich are appealing his conviction .,lawyers for rob blagojevich are appealing his corruption conviction.
appeal comes 30 minutes before midnight and a juror he biassed against them,the appeal comes 30 minutes before a midnight deadline and a juror claims he was biassed against them.
was convicted on counts including the power appointsomeone to barack obama senate seat in 200wi8,he was convicted on 18 counts including the power to appointsomeone to fill barack obama's senate seat back in 200wi8.
was sentenced to years behind bars,he was sentenced to 14 years behind bars.
department of 's affairs spending millions on employment call .,the department of veteran's affairs is spending millions on employment call centers.
even workers took an of just calls a day that the findings brand new from the general .,even though workers took an average of just two calls a day that's the findings of brand new report from the inspector general.
2.2 million was spent on two back in 2012. more 15 million will sent through 2015. they handle average calls for operator a day .,$2.2 million was spent on those two centers back in 2012. more than 15 million will be sent through 2015. they handle average 2.4 calls for each operator a day.
is run by contractor .,it is run by private contractor.
fix . says will the veterans affairs,veterans affairs says it will fix the problem.
extreme weather alert dangerous heat smothering east coast for second .,extreme weather alert dangerous heat smothering the east coast for a second day.
temperatures soaring the 9 0z .,temperatures soaring into the high 9 0z.
. could be the summer in the and the heat,it could be the worst and the longest heat wave in the summer.
maria molina is here tell ushow long it last .,maria molina is here to tell ushow long it will last.
will last through least .,it will last through at least friday.
including big cities where so many work in to parts new york even up into the city boston,including the big cities where so many work in philadelphia to parts of new york city even up into the city of boston.
widespread area will be dealing with hot not just the i 95 but further west .,a widespread area will be dealing with the hot temperatures not just the i 95 corridor but further west.
talking temperatures the from memphis kansas city,talking temperatures into the 90s from memphis and kansas city.
factor in humidity it gets much .,you factor in the humidity and it gets so much hotter.
are talking dangerous levels of .,you are talking dangerous levels of heat.
99 dc .,99 in dc.
philadelphia 97. triple digits heat index values maryland to .,philadelphia 97. triple digits heat index values from maryland to dc.
hot couple days expected,hot couple days expected.
philadelphia friday you remain in the 90s.so people also do n't have air-conditioning .,philadelphia through friday you will remain in the middle 90s.so many people also don't have air-conditioning.
have you to a n't go place air-conditioning,if you don't have air-conditioning go to a air-conditioned place.
wear light colors reflects the it keeps cooler say you were wearing different if you were purple or black,wear light colors it reflects the sunshine it keeps you cooler say if you were wearing a different color if you were wearing purple or black.
check your .,check on your elderly.
keep in .,keep them in doors.
learn a leader of a cartel captured mexican marines .,we learn a suspected leader of a drug cartel was captured mexican marines.
is the leader also known as z he was found a car carrying 2 in cash .,he is the alleged leader also known as z 40. he was found in a car carrying $2 million in cash.
is known for millions of civilians.a died after being electrocuteed her iphone 5. incident in china .,it is known for killing millions of civilians.a woman died after being electrocuteed by her iphone 5. the incident happened in china.
was shocked while answered phone while was charging,she was shocked while she answered a phone while it was charging.
apple says is cooperating now with .,apple says it is cooperating now with police.
week we helping you get good night .,this week we are helping you get a good night sleep.
"40 million americans suffering from disorders , sleep can be key to getting some 's and mattress you on plays key role","with 40 million americans suffering from sleep disorders, sleep position can be key to getting some z's and the mattress you lay on also plays a key role."
doctor joins us important on both of .,the doctor joins us with important information on both of those.
are going to lies someone sleeping on a .,we are going to handle lies someone sleeping on a mattress.
let talk about first you think is good one to in .,let's talk about the first position you think is a good one to sleep in.
's called the position .,it's called the fetal position.
people have a to snore have probleming at night the side is a position tosleep in .,if people have a tendency to snore or have probleming breathing at night the side position is a great position tosleep in.
reduces the of snoring have .,it reduces the amount of snoring we have.
is a position to sleep because a of snore,it is a great position to sleep in because a lot of people snore.
have one of interns that go position,we have one of our interns demonstrate that go position.
looks very comfortable .,she looks very comfortable.
hope do n't fall asleep during segment,hope you don't fall asleep during this segment.
next one is one you n't necessarily recommend called the free .,the next one is one you don't necessarily recommend called the free fall.
when people lion stomach .,when people lion their stomach.
people are typically very outgoing individuals but they are sensitive as well .,these people are typically very outgoing individuals but sometimes they are very sensitive as well.
stomach lining has a problem one is with breathing well .,the stomach lining has a real problem one is with breathing as well.
that have head turned a long period time can cause actual problems with neck .,because that we have our head turned for a long period of time which can cause actual orthopedic problems with their neck.
i never . stomach position recommend lying,i never recommend that stomach lying position.
about you the knee up,what about if you put the one knee up?
are spending a of time your neck for periods of time order to breathe,you are spending a lot of time with your neck turned for long periods of time in order to breathe.
is really hard on neck,it is really hard on your neck.
i always say you turn your neck one minute thatposition you probably n't do .,i always say if you can turn your neck for one minute in thatposition you probably can't do it.
is uncomfortable .,it is uncomfortable.
we the log,next we have the log.
log that the position times these people are verbal .,the log that's the position often times these people are very verbal.
often times take advantage of because are very people .,often times they take advantage of it because they are verbal very social people.
log lying position is great for .,the log lying position is great for breathing.
lot of say it is for low-back pain,a lot of people say it is great for low-back pain.
keeps the street .,it keeps the back street.
one the we have patients do you sleep in log because of knees want to put fipillow the and helps the knees the hips,one of the things we have our patients do if you sleep in the log position because of the knees we want to put a fipillow between the knees and helps separate the knees and the hips.
let get to a mattress,let's get to choosing a mattress.
i was analyzed earlier 's the here .,i was analyzed earlier what's the profile here.
sleep developed this kings a global manufacturer,the sleep developed this for kings down a global bedding manufacturer.
developed it there a problem when come to mattresses .,we developed it because there's a big problem when you come to mattresses.
. a mattress of these want to in buy go you at,you go in decide want to buy a mattress you look at a lot of these rectangles.
have research from lot doctors that small amounts change in support are impact how sleep .,we have research from a lot of doctors that say small amounts of change in support are goingto impact how you sleep.
pain that have how well feel the next by doing we can deal major body find right mattress for .,the pain that you have and how well you feel the next day by doing this we can deal with major body and find the right mattress for you.
was my ?,what was my match?
were on low of that support into yellow .,you were on the low side of that support level into the yellow.
you things like pain would have up in a support .,if you had things like pain you would have gone up in a support level.
can go out select mattress up .,you can go out and select whatever mattress up wanted.
go bed match.com and a retailer your area has diagnostic system can find right match with .,go to bed match.com and find a retailer in your area and has this diagnostic system you can find the right match with you.
when sleep with partner is more .,when you sleep with a partner it is more complicated.
profile . that for do partner two of have can accurate a a you not get the so with as bit have you a virtual get we we it if mattress not can your you little you and can support,you can have a partner with you or if the partner is not here we can do a virtual profile it is not as accurate but we can get a little bit of information so you and your partner can get the right mattress and you can have a system that is two different support levels for you.
robert ex man sleep to institute .,robert ex man the sleep to live institute.
time 40 after hour,the time 40 after the hour.
are calling it miracle,they are calling it a miracle.
sand are boy hearing a we swallowed first dune by morning familyof the up survived after for,this morning for the first time we are hearing from the familyof a 6-year-old boy who survived after being swallowed up by a sand dune.
was miss tear chysterica .,she was miss tear chysterica.
"said dad , , we n't nathan .","she said dad, dad, we can't find nathan."
is under sand,he is under the sand.
plus the 911 calls made by his .,that plus the frantic 911 calls made by his friends.
"birth the about the pending new this baby slip a . ,","and a royal slip, this morning new details about the pending birth of the royal baby."
and family the beans one member spilling .,one member of the royal family and spilling the beans.
"mine was earned djibouti , .","mine was earned in djibouti, africa."
"2004.vietnam 1972.fort benning , in 1999.usaa insurance is often handed down from generation generation","2004.vietnam in 1972.fort benning, georgia in 1999.usaa auto insurance is often handed down from generation to generation."
know what means serve.oo the is shining timessquare new york city,we know what it means to serve.oo the sun is shining in timessquare new york city.
six-year-old boy that swallowed up by sand making miraculous recovery today .,the six-year-old boy that was swallowed up by a sand dune making a miraculous recovery today.
now the time we are the frantic call help .,now for the first time we are hearing the frantic call for help.
911. friend he stuck in a dune he 's under sand we ca get out .,911.  my friend he got stuck in a sand dune and he's under the sand and we can't get him out.
friend and dad trying to get him .,my friend and his dad are trying to get him out.
was buried under feet of sand,he was buried under 11 feet of sand.
took more than hours for crews dig him .,it took more than 3 hours for crews to dig him out.
morning his is speaking out about desperate effort,this morning his family is speaking out about the desperate rescue effort.
daughter was hysterical .,my daughter was hysterical.
"said , , dad we ca findnathan","she said, dad, dad, we can't findnathan."
nathan was limp when did get him of sunday amazingly started breathing his own the way to hospital,nathan was limp when they did get him out of the sunday but amazingly he started breathing on his own on the way to the hospital.
brand father calls it miracle,his brand father calls it a miracle.
in condition still . is,he is still in critical condition.
doctors can they but . in hislung go hope removed sand weeks about say,doctors removed sand from hislung but they hope he can go home they say in about two weeks.
convicted killer wanted in with another goes .,a convicted killer wanted in connection with another murder goes free.
is all of paperwork .,it is all because of a paperwork mistake.
jail staff just noticed it months later .,the jail staff just noticed it two months later.
robert sand man is considered person of in the of georgia man in .,robert sand man is considered a person of interest in the murder of a georgia man back in march.
was arrested in mexico and was to be extradited georgia .,he was arrested in new mexico and was set to be extradited to georgia.
sent the to the place sandman was let .,they sent the paperwork to the wrong place and sandman was let go.
does seem like car costing more and more money year ?,does it seem like your car is costing more and more money each year?
's because is,that's because it is.
is not necessarily because gas .,it is not necessarily because of gas prices.
fox business network diane macedo is here explain .,fox business network diane macedo is here to explain.
good morning diane,good morning diane.
cost of ago car is on the .,the cost of own ago car is on the rise.
year it worth less and less,every year it becomes worth less and less.
is costing you and more drive it,it is costing you more and more to drive it.
"according aaa 2013 your cost survey the annual of owning a now chanrafrom dollars to more than 11,000 to average american to combination factors","according to aaa 2013 your driving cost survey the annual cost of owning a car now chanrafrom 7,000 dollars to more than 11,000 to the average american due to combination of factors."
where the you fall depend on what kind car are driving,where in the range you fall will depend on what kind of car you are driving.
average cost of sedans most typical car is 60.8 cents a mile based on miles of driving annually .,"the average cost of all sedans the most typical american car is 60.8 cents a mile based on 15,000 miles of driving 7-11,000 annually."
"small cars cost least while drive sport utility vehicles cost the most 11,599 annually to their fuel consumption","small cars cost the least while 4-wheel drive sport utility vehicles cost the most at 11,599 annually due to their fuel consumption."
"minivans often have about same of passenger and space as suv 's average dollars while large cost almost as much the suv 's at 11,208,000 a year","minivans which often have about the same amount of passenger and cargo space as most suv's average 9,795 dollars while large sedans cost almost as much as the suv's at 11,208,000 a year."
"aaa says amount of your car also increased to an average 3,571 for the bright spot in report am sorry to say best could find is fire costs remain stable the average sedan owner paying one penny per mile for tires","aaa says the amount of value your car loses also increased to an average of 3,571 dollars.as for the one bright spot in the report i am sorry to say the best i could find is fire costs have remain stable with the average sedan owner paying one penny per mile for tires."
diane macedo fox business network .,"diane macedo, fox business network."
royal slip .,a royal slip.
morning we new details about the birth the royal baby,this morning we have new details about the pending birth of the royal baby.
did one member the family spill the beans,did one member of the royal family spill the beans?
motel room woman a noose against . wall pinned car pregnant,a pregnant woman pinned against the wall as a car slam noose her motel room.
brian kilmeade has 's coming up fox friends .,brian kilmeade has what's coming up on fox and friends.
how are .,how are you.
i have tell you am not in studio,i have to tell you i am not in studio.
please do n't search .,please don't search me.
can go through officely know .,you can go through my officely never know.
are no cameras .,there are no security cameras.
will go through .,we will go through that.
will the game celebrity first be and about home talking derby,first we will be talking about the home run derby and the celebrity softball game.
george zimmerman situation jurors speak out .,george zimmerman situation the jurors speak out publically.
it for maybe first case the federal level.also the is it against law place your -- your on driver that ready to you a speed .,what it means for maybe the first case on the federal level.also on the show is it against the law to place your -- flash your headlights on a driver that is ready to get you on a speed track.
cell phones how can stop it you know am here .,cell phones how can you stop it make you know i am here.
highlights the run derby .,highlights on the home run derby.
anna kooiman learns work with vendors the ballpark the .,anna kooiman learns to work with the vendors at the ballpark like the pros.
peter gal blagher is here,peter gal blagher is here.
sarah gellar michelle,sarah michelle gellar.
i hope fit it over next hours,i hope we fit it in over the next three hours.
please put something .,please put something on.
is a that a in walked out this one alive,it is a miracle that a couple in ohio walked out of this one alive.
van loses control .,a van loses control.
's going 100 miles per and it intotheir room .,it's going 100 miles per hour and it plows intotheir motel room.
woman is eight months pregnant .,the woman is eight months pregnant.
was tphobd to ground the impact,she was tphobd to the ground from the impact.
the impact to ground knocked,-- knocked to the ground from the impact.
police say out-of-control driver ran a light and then two vehicles and a light before into their hotel .,police say the out-of-control driver ran a red light and then hit two vehicles and a light pole before smashing into their hotel room.
couple says they they cheated .,the couple says they believe they cheated death.
new heir to royal yet but we got possible from prince ' wife camilla,no new heir to the royal throne yet but we got a possible hint from prince charles' wife camilla.
said she the baby be here the end of week,she said she expects the baby to be here by the end of the week.
're live outside st. mary 's in london details .,we're live outside st. mary's hospital in london with details.
good morning you ainsley,"good morning to you, ainsley."
still quite lot of atmosphere going on here,still quite a lot of tense atmosphere going on here.
are the steps we 'll william and kate come cradling their future or girl,those are the famous steps we'll see william and kate come out cradling their future boy or girl.
a at up went look is the sign that parking first july take,take a look at this.this is a parking suspension sign that went up before the first of july.
is an going on it .,there is an event going on it says.
do n't have to me that,you don't have to tell me that.
's when all press here on the first july,that's when all the press arrived here on the first of july.
're all out .,they're all camped out.
for across cameras that well when course moment as british the duchess world . of cambridge,cameras from across the world and of course the british media as well waiting for that moment when the duchess of cambridge arrives.
photographers here,photographers here.
're marking out spots for that all-important when and kate come out .,they're marking out their spots ready for that all-important photograph when william and kate come out.
is no date officially but the of did tell yesterday that she and rest of family by for all-important phone .,there is no due date officially but the duchess of cornwall did tell us yesterday that she and the rest of her family standing by waiting for that all-important phone call.
"she , it happen the end of week","as she says, it may happen by the end of this week."
"latest adventure for president vladimir putin , diving the bottom the sea .","the latest adventure for russian president vladimir putin, diving to the bottom of the baltic sea."
went inside submarineto a russian that in 1869. it the latest a long of publicity for putin,he went inside a submarineto explore a russian ship that sank in 1869. it is the latest in a long line of publicity stunts for putin.
included riding that topless and then a wild tiger a frank -- gun,those included riding that horse topless and then shooting a wild tiger with a frank -- tranquilizer gun.
next the way a man this flash dance,"next, the unusual way a man organized this flash dance."
store clerk turning the on two .,a store clerk turning the table on two robbers.
how stepped up the of customer .,how he stepped up with the help of a customer.
"'s hard to , because have numbness but yet have the like of needles in your .","it's hard to describe, because you have a numbness, but yet you have the pain like thousands of needles sticking in your foot."
once i started taking lyrica the started subsiding.it 's known diabetes damages .,once i started taking the lyrica the pain started subsiding.it's known that diabetes damages nerves.
lyrica is fda approved treat diabetic nerve pain.lyrica is not for .,lyrica is fda approved to treat diabetic nerve pain.lyrica is not for everyone.
"tell doctor right away if have , new worsening , or changes in mood behavior","tell your doctor right away if you have these, new or worsening depression, or unusual changes in mood or behavior."
don'drink alcohol taking lyrica .,don'drink alcohol while taking lyrica.
ask doctor about today .,ask your doctor about lyrica today.
"'s specific treatment for nerve pain.eh , hold brent , 's this","it's specific treatment for diabetic nerve pain.eh, hold on brent, what's this?"
"back pedal back pedal.oh , 's in flames now ice-cold shoulder","back pedal, back pedal.oh, he's down in flames and now the ice-cold shoulder."
one last play no game ! gps him the dog house.make powerful impression,"one last play... no, game over!gps take him to the dog house.make a powerful first impression."
thanks olivia .,"thanks, olivia."
you make a payment your cell almost 's phone email .,so you can make a payment from your cell to almost anyone's phone or email.
french ) gratitude . in you express moment ... speaking,(speaking french) so you can express your gratitude... in the moment.
chase quickpay,chase quickpay.
i honestly never thought someone would try to into my without permission .,i honestly never thought that someone would try to enter into my home without my permission.
"when i arrived the , to surprise the had already a from adt and had gotten and apprehended suspect .","when i arrived at the residence, to my surprise, the officers had already received a call from adt and had gotten there and apprehended the suspect."
"knowing later this had a knife it just me of how lucky was to adt.when it 's your family trust adt fast monitoring to protect against , fire , and high levels carbon monoxide .","knowing later that this intruder had a knife --it just made me think of how lucky i was to have adt.when it's your family, trust adt fast response monitoring to help protect against burglary, fire, and high levels of carbon monoxide."
when seconds count the of adt .,"when seconds count, the experience of adt matters."
now get adt starting just $ with 24/7 just over $ 1 day plus a guarantee .,"now get adt starting at just $99 with 24/7 protection just over $1 a day, plus a money-back guarantee."
. with pulse remotely manage home,manage your home remotely with adt pulse.
even keep eye on kids,even keep an eye on your kids.
"person who the call adt saved home , my , and might saved my adt as as $ 99 and a lot more money .","the person who took the call from adt saved my home, my possessions, and he might have saved my life.get adt for as little as $99 and save a lot more than money."
's two minutes till top the hour,it's two minutes till the top of the hour.
happening 's house here the 's . you,"before you leave the house, here's what's happening."
afternoon jodi arias will be back in courtroom arizona .,this afternoon jodi arias will be back in a courtroom in arizona.
attorneys want a to throw the option the penalty but say might be looking another trial .,her attorneys want a judge to throw out the option for the death penalty but prosecutors say they might be looking for another trial.
results corymonteith of . 's be autopsy today expected,the results of actor corymonteith's autopsy should be expected today.
right now police vancouver say there nothing to indicate died from drug overdose,right now police in vancouver say there is nothing to indicate he died from a drug overdose.
tonight baseball all game tonight .,tonight's baseball all star game tonight.
brian kilmeade will be live field .,brian kilmeade will be live on field.
"time a at the , bad , the .","time for a look at the good, the bad, and the ugly."
73-year-old oregon man proves you never too old to have little fun,a 73-year-old oregon man proves you're never too old to have a little fun.
[ music playing ] 's dick `` dance '' walker organized this mob with 100 people .,"[music playing]  that's dick ""flash dance"" walker who organized this flash mob with over 100 people."
got the after watching .,he got the idea after watching youtube.
texas ai 'll see you the news .,a texas ai'll see you for the first news break.
tweet .,tweet me.
i 'll tweet back .,i'll tweet you back.
huckabee is now,huckabee is now.
do n't have to done anything wrong .,you don't have to have done anything wrong.
simply the to eventually under suspicion .,you simply the have to eventually fall under suspicion.
leaked classified information on government of americans .,he leaked classified information on the government surveillance of americans.
is edward snowden hero or ?,is edward snowden a hero or trader?
is searching for by monitoring of phone calls e-mails and web effective or like trying to find needle in hay stack,"and is searching for terrorists by monitoring millions of phone calls, e-mails and web searches effective or more like trying to find a needle in a hay stack?"
", 108 antibiotic ointment $ 77 for pads","plus, $108 for antibiotic ointment, $77 for gauze pads."
does obamacare address excessive healthcare costs,does obamacare address excessive healthcare costs.
", , no.if , will raise the .","no, no, and no.if anything, it will raise the cost."
welcome to from the news in new york city a very happy father day everyone .,and welcome to huckabee from the fox news studios in new york city and a very happy father's day to everyone.
well at to the .,"well, at least to the fathers."
i have long advocated we to pace fair tax,i have long advocated that we ought to pace the fair tax.
", tax , our eliminate penalties dividends on saving the . , would our consumption a level and productive gains and taxes investments these","that would eliminate taxes on income, saving, dividends, capital gains, inheritance and investments and replace these penalties on our productive with a tax on our consumption at the retail level."
i benefit an 's embrace really can . we that,"there's an important benefit that we, i think can all really embrace."
eliminates the .,it eliminates the irs.
"end spending to , in and . illegal reason the maybe light disregard , pro-life $ for a it unethical the is in 's well of bags freedom they million and legalized for dancing our and of conservative taxes from the our us online proisrael right ready and","that's a good reason for it,right?well, in light of the illegal and unethical activities of the irs in relationship to conservative, pro-life and proisrael groups and the disregard for the taxes they take from us by spending $50 million online dancing classes and swag bags, maybe, just maybe the public is ready to end the legalized theft of our finances and our freedom."
"see , benefit getting rid the irs is the threat of losing tax-exempt to shut down voices of churches .","you see, another benefit of getting rid of the irs is stopping the government threat of losing tax-exempt status to shut down the voices of churches."
"now i want you think about this and me , doubt everybody going to with me , but maybe , it 's that quit about tax-exempt status care more speaking with absolute and clarity on the issues the day .","now, i want you to think carefully about this and let me say, i doubt everybody is going to agree with me, but maybe, maybe it's time that churches quit caring about their tax-exempt status and care more about speaking with absolute freedom and clarity on the morale issues of the day."
i brought issue up .,i brought this issue up lastweek.
when i spoke the at the baptist in houston .,when i spoke to the pastors at the southern baptist convention in houston.
now i know i have never given a of my because the tax .,"now, i know i have never given a dime of my tithe because of the tax consequences."
"for giving is n't about the the blessing but mean , if gives money to solely the tax benefits , maybe that person to their money .","because for christians giving isn't about the getting the governments blessing but godsi mean, if somebody gives money to god solely for the tax benefits, then maybe that person ought to keep their money."
frankly need it than god .,they frankly need it worse than god does.
"see , empty that caused a or church water down message because fear of for irs , would .","you see, the empty threat that caused a pastor or church to water down their message because of fear of preprizels for the irs, that would stop."
is n't the of any of government to the of the 's sermon determine if is to the .,it isn't the place of any agency of the government to evaluate the content of the pastor's sermon and determine if that is acceptable to the government.
"even the tax is n't passed immediately , why endthe federal government subsidies to all entities organizations or not let freedom ring","even if the fair tax isn't passed immediately, why not endthe federal government subsidies to all entities and organizations religious or not and let freedom ring."
"now if believe something political spiritual , even , then for it .","now --if you believe in something political, spiritual, even economic, then pay for it."
leave government out it,leave the government out of it.
"staff would not funds those fear ministries use fear , and , huge churches taxes their","for those that fear the churches would pay huge taxes, fear not, they use their funds for staff, and ministries."
's little if left over for congregations,there's little if anything left over for most congregations.
would n't mean contributions would n't be deductible so 's a limit so benefit is that .,it wouldn't mean contributions wouldn't be deductible so there's already a limit so the benefit isn't that big.
"daniel rejected the 's food people of faith ought reject the government goodies but absolute freedom instead of about whether our message threatened with , we tell government put it where the do n't we and what we in our ought to driven by faith , not by the limits on freedom.well edward , the federal employee who leaked information about the security surveillance program americans told south morning post that 's a traitor a hero .","as daniel rejected the king's food maybe people of faith ought to reject the government's goodies but gain absolute freedom and instead of worrying about whether our message is threatened with governmentpenalty, we just tell the government to put it where the sun don't shinewhat we say and what we do in our churches ought to be driven by our faith, not by the government limits on our freedom.well, edward snowden, the former federal intelligence employee who leaked the information about the national security agency surveillance program on americans told the south china morning post that he's neither a traitor nor a hero."
says he just an american that has stopped debate here at home,he says he's just an american but that hasn't stopped the debate here at home.
so is snowden hero or traitor,so is snowden a hero or a traitor?
bill is former official with than 30 in the agency,bill is a former official with more than 30 years in the agency.
became a blower and re-signed 2001 after program he for intelligence gathering turned inward this country.b steven yates is a former assistant vice president chaney and ceo d.c. international advisory .,he became a whistle blower and re-signed in 2001 after the program he created for foreign intelligence gathering was turned inward on this country.b steven yates is a former deputy assistant to vice president chaney and ceo of d.c. international advisory.
spent the five years of his at national security .,he spent the first five years of his career at the national security agency.
gentlemen,gentlemen.
glad have both you .,glad to have both of you here.
bill let me with you,"bill, let me start with you."
"i do n't think is really so much about snowden as it about programs and value the country whether not they the rights of but do to ask if your , is edward a good or a bad guy","i don't think this is really so much about edward snowden as it is about the programs and their value to the country and whether or not they violate the constitutional rights of americans but i do want to ask, if your view, is edward snowden a good guy or a bad guy?"
well i certainly think that he done exposing these programs a great service .,"well, i certainly think that what he has done in exposing these programs is a great public service."
"kind of what think as unconstitutional activity the needs to be by public openly so can , as country decide whether or we ourgovernment to this of .","this kind of -- what i think of as unconstitutional activity by the government needs to be addressed by the public openly so we can, as a country, decide whether or not we want ourgovernment to do this kind of activity."
all collecting kind of about the is dangerous the to have .,"after all, collecting this kind of knowledge about the citizenry is dangerous for the government to have."
"left -- left nsa back 2001 because you that there some happening even , was 12 ago that crossed the line","you left -- you left the nsa back in 2001 because you thought that there were some things happening even then, this was 12 years ago that crossed the line."
"line did it and what the straw for and you said 's , 'm ?","what line did it cross and what was the final straw for you and you said that's it, i'm done?"
well was because started billing data from the telecoms,well it was because they started collecting billing data from the telecoms.
one that initially participating was at & ; they were 200 records u.s. citizens talking to other u.s. .,the one that was initially participating was at&t; and they were given 200 million records of u.s. citizens talking to other u.s. citizens.
allowed you reconstruct entire calling therefore you would know is what with whom,that allowed you to reconstruct their entire calling community therefore you would know who is doing what with whom.
you begin to reconstruct tea party any kind of you .,"so you could begin to reconstruct the tea party, any kind of organization you want."
then begin to who is to that organization and those accordingly .,and then begin to see who is central to that organization ornot and target those accordingly.
"steve how valuable is this , first all in 's ?","steve, how valuable is this information, first of all in it's collection?"
how damaging is it edward has revealed the -- at the of program ?,and how damaging is it that edward snowden has revealed the -- at least the parameters of the program?
well my is that the is valuable in the work that intelligence is trying do it 's not entirely their to make what they have to gather pursue leads in the states,"well, my assumption is that the data is extremely valuable in the work that the intelligence community is trying to do but it's not entirely their decision to make about what scope they have to gather and pursue leads here in the united states."
's something that completely dependent upon what judicial of says and what legislative branch says exercising .,that's something that is completely dependent upon what the judicial branch of government says and what the legislative branch says in exercising oversight.
"one the is if it so how come it did n't stop or have anything to do the underwear bomber the shoe , hood , little -- are so many and it had to do with it why are we collecting all this and if it so valuable come to day we still haven'tsaid fort hood terrorism","one of the questions is if it's so valuable how come it didn't stop boston or have anything to do with the underwear bomber, the shoe bomber, fort hood, little rock -- there are so many instances and it had nothing to do with stopping it so why are we collecting all of this data and if it's so valuable how come to this day we still haven'tsaid that fort hood is terrorism?"
are legitimate things to asking our government,those are legitimate things to be asking our government.
tell why we this data,tell us why we need this data.
does n't seem to working all that for right now,it doesn't seem to be working all that well for us right now.
well fair enough .,"well, fair enough."
i think is never going to a good to detect on or forth attacks .,i think it is never going to be a good tool to detect on going or forth coming attacks.
"it been when properly used and we possibly out it has n't properly is after something has happened -- after major lead has come , can back and analyze this data find if someone acted alone or there had a pat of communications pattern communications that could lead a network","what it has been when properly used and we could possibly find out it hasn't been properly used is after something has happened -- after a major lead has come in, people can go back and analyze this data to find out if someone acted alone or if there had been a pat herb of communications -- pattern of communications that could lead to a broader network."
's the hoc utility that it be in the right hands right .,it's the post hoc utility that it could be used in the right hands and right constraints.
let pose this to both you,let me pose this question to both of you.
bill i 'll start you then want steve to answer .,bill i'll start with you and then i want steve to answer.
"let say this that 's a governmentemployee , 's a and 's not high level .","let's say this 29-year-old that's not a governmentemployee, he's a contractor and he's not a high level official."
and get people that there a it hands get his this he . information to lot,if he can get his hands on this and extract it obviously there's a lot of people that could get to this information.
"gives us confidence all that does decide manipulate the next presidential election digging up the phone records , internet records every that presidential candidate has and blackmail everybody and control election ?","what gives us any confidence at all that somebody doesn't decide to manipulate the next presidential election by digging up all the phone records, the internet records, every photo that every presidential candidate has had and essentially blackmail everybody and completely control an election?"
comfort here .,comfort me here.
bill let me with you steve 'd an answer from you .,"bill, let me start with you and steve i'd like an answer from you."
see that the fundamental with government having of this knowledge the .,"see, that's the fundamental problem with government having all of this knowledge about the population."
"one the that troubled with the that come congress about irs activity by or targeting , individual giving a there said were asked a by the irs , is your relationship with other person and gave a .","one of the things that troubled me with the testimony that's come into congress about the irs activity by attacking or targeting individuals, one individual giving a testimony there said they were asked a question by the irs, what is your relationship with this other person and they gave a name."
well how do they there 's ?,"well, how do they know there's arelationship?"
well you into the at data of program know all the .,well if you look into the met at a data of the program they know all of the relationships.
the ? does know is about how so question that,so the question is how does the irs know about that relationship?
need to that because looks me that 's result this .,they need to answer that because it looks to me like that's a result of this program.
're taking knowledge and it in political to organizations that they n't particularly care .,they're taking knowledge and redirecting it in a political way to target organizations that they don't particularly care for.
"right steve , 'd like your response this same .","all right steve, i'd like your response to this same thing."
fundamental 's think . i do,i do think it's fundamental.
more important who snowden is it 's else out has this .,more important than who edward snowden is it's who else out there has this information.
they it could with,what could they do with it?
could do a amount with it,they could do a tremendous amount with it.
's two rest . laars pill it,there's two pill laars it must rest.
one is trust one is targeting .,one is trust and one is targeting.
notion of in the government and respecting the information has is .,any notion of trust in the federal government gathering and respecting the information it has is blown.
's going to to be major effort restore trust .,there's going to have to be a major effort to restore trust.
nsa is very different from irs this whole notion trust in what thegovernment doing is at moment .,the nsa is very different from the irs but this whole general notion of trust in what thegovernment is doing is lost at the moment.
targeting is where current environment failed hmiserably i making sure that 're more narrowly at people that real threats real challenges .,targeting is where the current environment failed hmiserably i making sure that we're looking more narrowly at people that are real threats and real challenges.
's unacceptable to a vacuum and hold on the information,it's unacceptable to take a vacuum cleaner and hold on to the information.
order trust . to targeting work to have to in people and,we have to have targeting in order for people to have trust and this to work.
you yourself in then bombers and other people basically in plain sight .,if you drowned yourself in information then boston bombers and other people basically hide in plain sight.
"well first of , do think there 's a lot stuff on but just case there , do want them on to , okay","well, first of all, i don't think there's a lot of stuff on me but just in case there is, i don't want them holding on to it, okay."
"bill steven you rejoin us in few but , should edward be charged tried as the traitor .","bill and steven you'll rejoin us in a few minutes but first, should edward snowden be charged and tried as the traitor."
government has a chance convicting him as thief,the government has a better chance convicting him as a thief.
'll explain why when we back .,he'll explain why when we come back.
"go mikehuckabee.cshould edward snowden be charged with crime if so what it be order extradite him to the joining me alan , to have here","go to mikehuckabee.cshould edward snowden be charged with a crime and if so, what should it be in order to extradite him back to the u.s. joining me is alan, great to have you here."
"nice be here , you .","nice to be here, thank you."
"now this going to be fascinating case , first of , this guy extradited to u.s. and so , will they be with crime of .","now, this is going to be a fascinating case because, first of all, will this guy get extradited back to the u.s. and if so, will they be charged with the crime of theft."
they smart they wo charge him with anything at .,if they are smart they won't charge him with anything political at all.
'll charge him a .,they'll charge him as a thief.
